CAMIS,GRADE,BORO
30075445,0,BRONX
30112340,0,BROOKLYN
30191841,0,MANHATTAN
40356018,0,BROOKLYN
40356151,0,QUEENS
40356483,0,BROOKLYN
40356649,0,BROOKLYN
40356731,0,BROOKLYN
40357217,0,BRONX
40358429,1,BROOKLYN
40359480,0,MANHATTAN
40359705,0,BROOKLYN
40360045,0,BROOKLYN
40360076,0,BROOKLYN
40361322,0,QUEENS
40361521,0,MANHATTAN
40361606,0,BROOKLYN
40361618,0,QUEENS
40361708,0,MANHATTAN
40361998,0,QUEENS
40362098,0,MANHATTAN
40362264,1,MANHATTAN
40362274,0,MANHATTAN
40362432,0,QUEENS
40362715,0,MANHATTAN
40362869,0,BROOKLYN
40363093,0,BRONX
40363098,0,BROOKLYN
40363151,0,MANHATTAN
40363289,0,BRONX
40363298,0,MANHATTAN
40363333,1,QUEENS
40363426,0,MANHATTAN
40363427,0,STATEN ISLAND
40363565,1,QUEENS
40363590,0,QUEENS
40363630,1,MANHATTAN
40363644,0,MANHATTAN
40363685,0,MANHATTAN
40363744,0,BROOKLYN
40363834,0,STATEN ISLAND
40363920,0,BROOKLYN
40363945,1,MANHATTAN
40364149,0,MANHATTAN
40364179,-1,MANHATTAN
40364220,0,BROOKLYN
40364262,0,QUEENS
40364286,0,STATEN ISLAND
40364296,0,BRONX
40364299,0,STATEN ISLAND
40364304,0,MANHATTAN
40364305,0,BROOKLYN
40364335,0,BROOKLYN
40364347,0,MANHATTAN
40364362,0,MANHATTAN
40364363,0,BRONX
40364373,0,MANHATTAN
40364389,1,MANHATTAN
40364404,0,BROOKLYN
40364439,0,MANHATTAN
40364443,0,MANHATTAN
40364449,-1,QUEENS
40364467,0,MANHATTAN
40364518,0,MANHATTAN
40364529,1,QUEENS
40364531,1,MANHATTAN
40364572,0,MANHATTAN
40364576,0,MANHATTAN
40364581,0,BROOKLYN
40364668,1,MANHATTAN
40364681,1,BROOKLYN
40364691,0,MANHATTAN
40364715,1,MANHATTAN
40364744,0,QUEENS
40364858,0,QUEENS
40364863,0,MANHATTAN
40364889,0,BROOKLYN
40364920,0,QUEENS
40364956,1,BRONX
40364958,0,MANHATTAN
40365013,0,STATEN ISLAND
40365022,0,STATEN ISLAND
40365043,1,BROOKLYN
40365075,0,MANHATTAN
40365098,0,MANHATTAN
40365120,1,STATEN ISLAND
40365166,0,MANHATTAN
40365226,0,BROOKLYN
40365239,0,MANHATTAN
40365264,0,MANHATTAN
40365280,0,MANHATTAN
40365288,0,MANHATTAN
40365293,0,MANHATTAN
40365348,1,MANHATTAN
40365355,0,BROOKLYN
40365361,1,MANHATTAN
40365387,0,MANHATTAN
40365414,1,MANHATTAN
40365454,-1,STATEN ISLAND
40365472,0,MANHATTAN
40365473,0,BROOKLYN
40365499,1,BRONX
40365525,-1,MANHATTAN
40365546,1,BROOKLYN
40365577,0,MANHATTAN
40365592,0,QUEENS
40365627,0,QUEENS
40365632,0,BROOKLYN
40365644,0,MANHATTAN
40365709,0,MANHATTAN
40365726,0,MANHATTAN
40365784,0,BROOKLYN
40365789,0,MANHATTAN
40365841,0,QUEENS
40365844,0,QUEENS
40365871,0,MANHATTAN
40365882,0,MANHATTAN
40365893,1,BRONX
40365904,0,MANHATTAN
40365938,0,QUEENS
40365942,0,MANHATTAN
40365968,0,MANHATTAN
40365972,-1,QUEENS
40366002,0,QUEENS
